"Institution",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"group"
"The University of Western Australia",2531100,2758495,4746547,5858557,4845862,4954225,6108621,6302704,11745334,11188760,11233282,13467172,13879197,14793738,23982051,22953757,31158713,29072220,27143172,43376330,39990889,31854463,"State Government"
"  SOUTH AUSTRALIA",,,,,,,,,,,,,,,,,,,,,,,"State Government"
"Flinders University",342687,424959,451764,405144,332846,1657854,2217163,1659865,2121327,1810207,2174168,1790589,2658278,3932872,4199296,4496180,8502640,8987548,8858586,8558727,7076739,7001659,"State Government"
"The University of Adelaide",1795298,1429079,3728429,4448692,5383209,6518061,6515646,6390464,5406763,8443415,8120150,11165968,12103501,15254124,14563152,17352663,29011861,27702887,24068117,23649275,23251415,21321492,"State Government"
"University of South Australia",319942,389463,932263,1128528,1025664,1209524,1495915,1864241,2160567,1697166,1787027,2127518,2253136,3260742,10838583,7344547,7179944,7360218,11772285,7693874,7389713,7948992,"State Government"
"  TASMANIA",,,,,,,,,,,,,,,,,,,,,,,"State Government"
"University of Tasmania",1443140,1027379,972058,903776,1613725,2701041,3854520,5567332,5006247,7035289,6304208,5831207,6410681,6398790,7972954,12040341,45755,12246786,14334426,13441623,21518331,13085958,"State Government"
"  NORTHERN TERRITORY",,,,,,,,,,,,,,,,,,,,,,,"State Government"
"Charles Darwin University",566091,532503,714813,867715,502511,386743,826215,1184488,1278755,924852,646621,945796,4731450,3513878,5857507,6923839,4015999,10084924,6994959,10595739,8693835,5500323,"State Government"
"  ACT",,,,,,,,,,,,,,,,,,,,,,,"State Government"
"The Australian National University",0,0,0,0,0,0,0,0,817997,1302700,1488491,1552921,1928665,1766942,1312447,3596201,6435514,2151788,2076333,3229891,3401914,3616434,"State Government"
"University of Canberra",61006,92395,32200,153786,404518,131918,158620,312928,299458,782851,947094,1092358,508387,464967,381191,686268,1829184,803724,582343,623454,1908263,1870032,"State Government"
"  OTHER",,,,,,,,,,,,,,,,,,,,,,,"State Government"
"Australian Catholic University",37788,0,0,11750,27600,104268,156525,659825,524729,728076,358256,362818,396921,143292,309475,268340,245767,431956,254291,499518,275695,479769,"State Government"
