EPBC_Status,FFG_Status,DSE_Advisory,Origin,Scientific,Common_Name,Count_of_Sightings,Taxon_Id
,,,,Ardea ibis,Cattle Egret,1,10977
,,,,Ardea pacifica,White-necked Heron,1,10189
,,,,Arenaria interpres,Ruddy Turnstone,1,10129
,,,,Arenigobius bifrenatus,Bridled Goby,3,5020
,,,,Argyrosomus japonicus,Mulloway,6,4925
,,,,Arripis georgianus,Australian Herring,4,4910
,,,,Arripis trutta,Eastern Australian Salmon,8,4911
,,,,Artamus cyanopterus,Dusky Woodswallow,1,10547
,,,,Artamus personatus,Masked Woodswallow,1,10544
,,,,Artamus superciliosus,White-browed Woodswallow,1,10545
,,,,Atherinason microstoma,Smallmouthed Hardyhead,11,4782
,,,,Austrelaps superbus,Lowland Copperhead,10,12973
,,,,Barnardius zonarius zonarius,Australian Ringneck,1,60294
,,,,Cacatua galerita,Sulphur-crested Cockatoo,672,10269
,,,,Cacatua sanguinea,Little Corella,20,10271
,,,,Cacatua tenuirostris,Long-billed Corella,83,10272
,,,,Cacomantis flabelliformis,Fan-tailed Cuckoo,1,10338
,,,,Cacomantis variolosus,Brush Cuckoo,8,10339
,,,,Calamanthus fuliginosus,Striated Fieldwren,1,10500
,,,,Calidris acuminata,Sharp-tailed Sandpiper,1,10163
,,,,Calidris bairdii,Baird's Sandpiper,1,10890
,,,,Calidris ferruginea,Curlew Sandpiper,1,10161
,,,,Calidris fuscicollis,White-rumped Sandpiper,1,10849
,,,,Calidris himantopus,Stilt Sandpiper,1,10827
,,,,Calidris melanotus X ferruginea,Cox's Sandpiper,1,60822
,,,,Calidris minuta,Little Stint,1,10857
,,,,Calidris ruficollis,Red-necked Stint,1,10162
,,,,Callocephalon fimbriatum,Gang-gang Cockatoo,1,10268
,,,,Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo,126,10267
,,,,Carduelis carduelis,European Goldfinch,1,528559
,,,,Chalinolobus gouldii,Gould's Wattled Bat,1,11349
,,,,Chalinolobus morio,Chocolate Wattled Bat,1,11351
,,,,Charadrius bicinctus,Double-banded Plover,1,10140
,,,,Charadrius dubius,Little Ringed Plover,1,10851
,,,,Charadrius hiaticula,Ringed Plover,1,10895
,,,,Charadrius ruficapillus,Red-capped Plover,1,10143
,,,,Charadrius veredus,Oriental Plover,1,10142
,,,,Chelodina longicollis,Common Long-necked Turtle,1,5134
,,,,Chenonetta jubata,Australian Wood Duck,1,10202
,,,,Cheramoeca leucosternus,White-backed Swallow,1,10358
,,,,Cherax destructor destructor,Common Yabby,1,1608
,,,,Christinus marmoratus,Marbled Gecko,1,12126
,,,,Chroicocephalus novaehollandiae,Silver Gull,1,10125
,,,,Chrysococcyx basalis,Horsfield's Bronze-Cuckoo,1,10342
,,,,Chrysococcyx lucidus,Shining Bronze-Cuckoo,242,10344
,,,,Cincloramphus cruralis,Brown Songlark,1,10508
,,,,Cincloramphus mathewsi,Rufous Songlark,1,10509
,,,,Circus approximans,Swamp Harrier,494,10219
,,,,Cisticola exilis,Golden-headed Cisticola,1,10525
,,,,Cladorhynchus leucocephalus,Banded Stilt,1,10147
,,,,Colluricincla harmonica,Grey Shrike-thrush,1,10408
,,,,Columba leucomela,White-headed Pigeon,1,10028
,,,,Coracina novaehollandiae,Black-faced Cuckoo-shrike,1,10424
,,,,Coracina papuensis,White-bellied Cuckoo-shrike,1,10425
,,,,Coracina tenuirostris,Common Cicadabird,1,10429
,,,,Corcorax melanorhamphos,White-winged Chough,1,10693
,,,,Cormobates leucophaeus,White-throated Treecreeper,1,10558
,,,,Corvus coronoides,Australian Raven,1,10930
,,,,Corvus mellori,Little Raven,1,10954
,,,,Corvus tasmanicus,Forest Raven,1,10868
,,,,Coturnix pectoralis,Stubble Quail,1,10009
,,,,Cracticus nigrogularis,Pied Butcherbird,1,10700
,,,,Cracticus torquatus,Grey Butcherbird,1,10702
,,,,Crinia signifera,Common Froglet,1,13134
,,,,Ctenotus robustus,Large Striped Skink,1,12375
,,,,Cuculus pallidus,Pallid Cuckoo,162,10337
,,,,Cygnus atratus,Black Swan,1,10203
,,,,Dacelo novaeguineae,Laughing Kookaburra,1,10322
,,,,Daphoenositta chrysoptera,Varied Sittella,1,10549
,,,,Daption capense,Cape Petrel,1,10080
,,,,Delphinus delphis,Common Dolphin,1,11616
,,,,Dendrocygna eytoni,Plumed Whistling-Duck,1,10205
,,,,Dicaeum hirundinaceum,Mistletoebird,1,10564
,,,,Dromaius novaehollandiae,Emu,1,10001
,,,,Drysdalia coronoides,White-lipped Snake,1,12665
,,,,Egernia cunninghami,Cunningham's Skink,1,12408
,,,,Egernia saxatilis intermedia,Black Rock Skink,1,62938
,,,,Egretta novaehollandiae,White-faced Heron,1,10188
,,,,Elanus axillaris,Black-shouldered Kite,453,10232
,,,,Elanus scriptus,Letter-winged Kite,1,10233
,,,,Elseyornis melanops,Black-fronted Dotterel,1,10144
,,,,Empididae SRV sp. 7,Dance Flies,1,4578
,,,,Engaeus cunicularius,Granular Burrowing Cray,1,1680
,,,,Engraulis australis,Australian Anchovy,2,4672
,,,,Eolophus roseicapilla,Galah,800,10273
,,,,Eopsaltria australis,Eastern Yellow Robin,1,10392
,,,,Epthianura albifrons,White-fronted Chat,1,10448
,,,,Erythrogonys cinctus,Red-kneed Dotterel,1,10132
,,,,Euastacus yarraensis,Southern Victorian Spiny Crayfish,1,1645
,,,,Eudynamys orientalis,Eastern Koel,1,10347
,,,,Eudyptula minor,Little Penguin,74,10005
,,,,Eulamprus tympanum tympanum,Southern Water Skink,1,62956
,,,,Eurostopodus mystacalis,White-throated Nightjar,13,10330
,,,,Eurystomus orientalis,Dollarbird,10,10318
,,,,Falco berigora,Brown Falcon,597,10239
,,,,Falco cenchroides,Nankeen Kestrel,1,10240
,,,,Falco longipennis,Australian Hobby,195,10235
,,,,Falco peregrinus,Peregrine Falcon,1,10237
,,,,Falcunculus frontatus,Crested Shrike-tit,1,10416
,,,,Fulica atra,Eurasian Coot,1,10059
,,,,Fulmarus glacialoides,Southern Fulmar,1,10074
,,,,Gadopsis marmoratus,River Blackfish,4,4949
,,,,Galaxias brevipinnis,Broadfin Galaxias,8,4694
,,,,Galaxias maculatus,Common Galaxias,57,4696
,,,,Galaxias truttaceus,Spotted Galaxias,28,4693
,,,,Gallinula tenebrosa,Dusky Moorhen,1,10056
,,,,Gallinula ventralis,Black-tailed Native-hen,1,10055
,,,,Gallirallus philippensis,Buff-banded Rail,1,10046
,,,,Geocrinia victoriana,Victorian Smooth Froglet,1,13033
,,,,Geopelia striata,Peaceful Dove,1,10030
,,,,Geotria australis,Pouched Lamprey,1,4601
,,,,Gerygone fusca,Western Gerygone,1,10463
,,,,Gerygone olivacea,White-throated Gerygone,1,10453
,,,,Girella tricuspidata,Luderick,12,4930
,,,,Glareola maldivarum,Oriental Pratincole,1,10172
,,,,Globicephala melas,Long-finned Pilot Whale,1,11606
,,,,Glossopsitta concinna,Musk Lorikeet,1,10258
,,,,Glossopsitta porphyrocephala,Purple-crowned Lorikeet,375,10259
,,,,Glossopsitta pusilla,Little Lorikeet,102,10260
,,,,Gobiopterus semivestitus,Glass Goby,1,5027
,,,,Grallina cyanoleuca,Magpie-lark,1,10415
,,,,Grampus griseus,Risso's Dolphin,1,11609
,,,,Gymnapistes marmoratus,Soldierfish,2,4840
,,,,Gymnorhina tibicen,Australian Magpie,1,10705
,,,,Haematopus longirostris,Pied Oystercatcher,1,10130
,,,,Haliastur sphenurus,Whistling Kite,603,10228
