"Object ID","Object Type","Longitude","Latitude","Distance (Parsecs)","Name","Map Sector","Diameter (Parsecs)","Distance source (ADS)"
"6703","st","116.5","-0.8","2510","LSI  +61   112","4_p45.5xp24.5","0","5044B_lumstrs2.dat"
"12872","st","117","-0.1","10810","LSI  +61   118","4_p93.0xp0.0","0","5044B_lumstrs3.dat"
"12888","st","117.7","-0.4","4850","LSI  +61   123","4_p59.0xp17.0","0","5044B_lumstrs3.dat"
"12891","st","117.8","-0.5","11120","LSI  +61   124    (","4_p94.5xm1.5","0","5044B_lumstrs3.dat"
"6728","st","119.5","-0.8","2880","LSI  +61   145","4_p47.5xp22.5","0","5044B_lumstrs2.dat"
"12992","st","128","-0.8","1680","LSI  +61   202","4_p40.0xp25.0","0","5044B_lumstrs3.dat"
"6819","st","128.1","-0.8","2880","LSI  +61   203","4_p46.0xp20.0","0","5044B_lumstrs2.dat"
"12998","st","128.3","-0.7","700","LSI  +61   205","4_p35.0xp28.5","0","5044B_lumstrs3.dat"
"13008","st","128.9","-0.5","1330","LSI  +61   217","4_p38.0xp26.0","0","5044B_lumstrs3.dat"
"13022","st","129.6","-0.8","2020","LSI  +61   237","4_p41.5xp23.5","0","5044B_lumstrs3.dat"
"13024","st","129.7","-0.9","1530","LSI  +61   238","4_p39.0xp25.0","0","5044B_lumstrs3.dat"
"13031","st","130.1","0.1","1920","LSI  +61   245","4_p41.0xp23.5","0","5044B_lumstrs3.dat"
"6678","st","115.6","1","2510","LSI  +62    19","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"6685","st","115.9","0.7","2510","LSI  +62    28","4_p45.5xp24.5","0","5044B_lumstrs2.dat"
"6686","st","115.9","0.4","2510","LSI  +62    32","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"12847","st","116","0.4","6400","LSI  +62    34","4_p68.5xp13.5","0","5044B_lumstrs3.dat"
"12876","st","117.3","0.1","6170","LSI  +62    58","4_p66.5xp13.5","0","5044B_lumstrs3.dat"
"12890","st","117.8","0.1","3370","LSI  +62    67","4_p50.5xp21.5","0","5044B_lumstrs3.dat"
